Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
1/1/1990,"121,607","77,976","31,781",0,"9,090","5,550","1,264","16,523","15,032","43,631",467,"39,971","15,951","8,028",0,"15,992","3,193","231,016","228,663","85,704","142,959",231,"136,995","3,220","3,106","5,733","2,353",283,"2,070",112,"1,778",0,180,"352,623","235,302","228,663","85,704","142,959","2,353",283,"2,070","4,286","4,286",0
2/1/1990,"121,404","77,819","31,769",0,"8,768","5,695","1,297","16,585","15,002","43,585",467,"39,923","15,984","7,983",0,"15,956","3,195","231,899","229,555","86,873","142,682",233,"136,708","3,163","3,217","5,741","2,344",283,"2,061",113,"1,768",0,180,"353,303","236,297","229,555","86,873","142,682","2,344",283,"2,061","4,398","4,398",0
3/1/1990,"122,358","78,386","31,878",0,"8,728","5,841","1,330","16,828","15,111","43,972",467,"40,316","16,009","8,270",0,"16,037","3,189","233,978","231,604","87,830","143,774",234,"137,821","3,339","3,339","5,719","2,374",289,"2,085",115,"1,791",0,179,"356,336","238,489","231,604","87,830","143,774","2,374",289,"2,085","4,511","4,511",0
4/1/1990,"122,922","78,566","32,099",0,"8,883","5,989","1,383","16,630","14,965","44,356",469,"40,704","16,184","8,427",0,"16,093","3,183","236,564","234,168","89,060","145,108",236,"139,174","3,506","3,506","5,698","2,396",296,"2,100",116,"1,806",0,178,"359,486","241,170","234,168","89,060","145,108","2,396",296,"2,100","4,606","4,606",0
5/1/1990,"123,435","78,941","32,316",0,"9,050","6,022","1,409","16,699","14,854","44,494",471,"40,846","16,305","8,389",0,"16,152","3,177","239,184","236,766","90,473","146,293",238,"140,380","3,678","3,678","5,675","2,418",300,"2,118",117,"1,823",0,178,"362,619","243,796","236,766","90,473","146,293","2,418",300,"2,118","4,612","4,612",0
6/1/1990,"124,132","79,564","32,539",0,"9,232","6,159","1,461","16,845","14,789","44,568",473,"40,924","16,402","8,314",0,"16,208","3,171","241,688","239,247","91,906","147,341",239,"141,448","3,845","3,845","5,654","2,441",305,"2,136",118,"1,841",0,177,"365,820","246,386","239,247","91,906","147,341","2,441",305,"2,136","4,698","4,698",0
7/1/1990,"124,492","80,005","32,687",0,"9,310","6,403","1,516","16,683","14,922","44,487",470,"40,854","16,477","8,160",0,"16,217","3,163","243,394","240,937","92,924","148,013",240,"142,046","3,949","3,949","5,727","2,457",304,"2,153",119,"1,855",0,179,"367,886","248,281","240,937","92,924","148,013","2,457",304,"2,153","4,887","4,887",0
8/1/1990,"124,806","80,526","32,805",0,"9,516","6,485","1,532","16,650","15,070","44,280",468,"40,658","16,492","7,940",0,"16,226","3,154","244,542","242,069","93,437","148,632",241,"142,591","4,053","4,053","5,800","2,473",304,"2,169",119,"1,870",0,180,"369,348","249,495","242,069","93,437","148,632","2,473",304,"2,169","4,953","4,953",0
9/1/1990,"125,752","81,519","32,854",0,"9,788","6,599","1,556","16,970","15,308","44,233",465,"40,622","16,579","7,809",0,"16,234","3,146","245,989","243,491","94,245","149,246",241,"143,135","4,153","4,153","5,870","2,498",309,"2,189",119,"1,888",0,182,"371,741","251,032","243,491","94,245","149,246","2,498",309,"2,189","5,043","5,043",0
10/1/1990,"126,317","81,993","32,811",0,"9,841","6,746","1,588","17,177","15,418","44,324",462,"40,721","16,529","7,870",0,"16,322","3,141","247,754","245,249","95,047","150,202",234,"144,093","4,396","4,330","5,875","2,505",310,"2,195",116,"1,897",0,182,"374,071","252,912","245,249","95,047","150,202","2,505",310,"2,195","5,158","5,158",0
11/1/1990,"126,483","82,037","32,593",0,"9,842","6,484","1,524","17,671","15,447","44,446",459,"40,850","16,484","7,960",0,"16,406","3,137","249,360","246,852","95,659","151,193",226,"145,086","4,632","4,500","5,881","2,508",316,"2,192",112,"1,897",0,183,"375,843","254,321","246,852","95,659","151,193","2,508",316,"2,192","4,961","4,961",0
12/1/1990,"126,842","82,254","32,355",0,"10,319","6,607","1,550","17,464","15,509","44,588",456,"41,000","16,425","8,081",0,"16,494","3,132","251,183","248,665","96,570","152,095",219,"145,990","4,875","4,677","5,886","2,518",319,"2,199",108,"1,908",0,183,"378,025","256,241","248,665","96,570","152,095","2,518",319,"2,199","5,058","5,058",0
1/1/1991,"126,815","82,095","31,969",0,"10,530","6,732","1,570","17,404","15,460","44,720",456,"41,144","16,485","8,183",0,"16,476","3,120","252,204","249,678","97,401","152,277",225,"146,142","5,041","4,826","5,910","2,526",319,"2,207",111,"1,913",0,183,"379,019","257,366","249,678","97,401","152,277","2,526",319,"2,207","5,162","5,162",0
2/1/1991,"125,928","81,188","31,738",0,"9,873","6,836","1,585","17,469","15,272","44,740",455,"41,175","16,459","8,257",0,"16,459","3,110","253,173","250,633","97,965","152,668",231,"146,504","5,191","4,961","5,933","2,540",321,"2,219",114,"1,921",0,184,"379,101","258,424","250,633","97,965","152,668","2,540",321,"2,219","5,251","5,251",0
