Dates,"Household income  (x 1,000,000)","Household outlays  (x 1,000,000)","Disposable income   (x 1,000,000)","Plus: Interest paid  (x 1,000,000)","Equals: disposable income before payment of interest 2  (x 1,000,000)","Total debt payments 2  (x 1,000,000)","Total obligated payments of principal 2  (x 1,000,000)","Total interest paid 2  (x 1,000,000)",Debt service ratio 2,"Debt service ratio, interest only 2"
Q1 1990,"615,496","589,856","403,280","47,900","451,180","54,768","6,868","47,900",12.14,10.62
Q2 1990,"626,452","610,364","392,652","49,316","441,968","55,796","6,480","49,316",12.62,11.16
Q3 1990,"631,908","608,044","404,988","50,484","455,472","56,544","6,060","50,484",12.41,11.08
Q4 1990,"638,984","611,668","412,232","51,148","463,380","56,716","5,568","51,148",12.24,11.04
Q1 1991,"640,844","608,556","417,232","51,488","468,720","56,824","5,336","51,488",12.12,10.98
Q2 1991,"648,248","630,308","412,040","50,612","462,652","55,844","5,232","50,612",12.07,10.94
Q3 1991,"652,668","629,176","420,200","50,052","470,252","55,884","5,832","50,052",11.88,10.64
Q4 1991,"654,384","627,508","424,068","49,208","473,276","55,596","6,388","49,208",11.75,10.4
Q1 1992,"658,604","638,304","419,928","47,964","467,892","54,808","6,844","47,964",11.71,10.25
Q2 1992,"664,280","638,260","428,816","47,448","476,264","54,740","7,292","47,448",11.49,9.96
Q3 1992,"667,800","633,376","442,316","46,736","489,052","54,432","7,696","46,736",11.13,9.56
Q4 1992,"669,188","644,920","435,524","47,076","482,600","55,416","8,340","47,076",11.48,9.75
Q1 1993,"676,464","652,112","439,276","44,380","483,656","53,876","9,496","44,380",11.14,9.18
Q2 1993,"679,832","639,992","458,584","43,924","502,508","53,236","9,312","43,924",10.59,8.74
Q3 1993,"681,600","660,032","444,704","42,952","487,656","53,028","10,076","42,952",10.87,8.81
Q4 1993,"682,432","668,480","442,096","42,768","484,864","53,400","10,632","42,768",11.01,8.82
Q1 1994,"685,640","669,236","450,008","42,724","492,732","54,180","11,456","42,724",11,8.67
Q2 1994,"692,764","673,268","454,520","42,708","497,228","54,716","12,008","42,708",11,8.59
Q3 1994,"701,280","686,444","454,144","44,004","498,148","56,140","12,136","44,004",11.27,8.83
Q4 1994,"708,180","694,480","459,636","45,012","504,648","57,280","12,268","45,012",11.35,8.92
Q1 1995,"715,664","700,912","461,916","47,220","509,136","60,204","12,984","47,220",11.82,9.27
Q2 1995,"722,476","709,180","465,884","48,604","514,488","60,520","11,916","48,604",11.76,9.45
Q3 1995,"727,596","719,864","465,836","48,344","514,180","60,604","12,260","48,344",11.79,9.4
Q4 1995,"730,372","720,384","469,072","48,208","517,280","60,920","12,712","48,208",11.78,9.32
Q1 1996,"733,988","728,660","472,160","47,896","520,056","61,240","13,344","47,896",11.78,9.21
Q2 1996,"737,104","734,624","473,700","47,568","521,268","61,732","14,164","47,568",11.84,9.13
Q3 1996,"742,812","742,344","475,332","46,788","522,120","62,124","15,336","46,788",11.9,8.96
Q4 1996,"750,800","755,248","480,920","45,892","526,812","61,860","15,968","45,892",11.74,8.71
Q1 1997,"755,312","764,640","485,296","44,288","529,584","62,248","17,960","44,288",11.75,8.36
Q2 1997,"764,380","777,668","487,336","43,944","531,280","62,608","18,664","43,944",11.78,8.27
Q3 1997,"776,752","783,420","501,280","43,864","545,144","63,376","19,512","43,864",11.63,8.05
Q4 1997,"783,004","791,568","505,812","44,412","550,224","64,824","20,412","44,412",11.78,8.07
Q1 1998,"795,624","802,932","508,368","45,588","553,956","66,900","21,312","45,588",12.08,8.23
Q2 1998,"804,440","817,200","510,620","45,964","556,584","67,824","21,860","45,964",12.19,8.26
Q3 1998,"810,304","815,228","523,392","47,112","570,504","69,832","22,720","47,112",12.24,8.26
Q4 1998,"824,148","823,716","531,968","47,972","579,940","70,592","22,620","47,972",12.17,8.27
Q1 1999,"828,032","834,100","534,304","47,064","581,368","70,748","23,684","47,064",12.17,8.1
Q2 1999,"841,284","846,520","543,140","46,476","589,616","70,348","23,872","46,476",11.93,7.88
Q3 1999,"851,248","859,048","550,512","46,276","596,788","70,832","24,556","46,276",11.87,7.75
Q4 1999,"862,888","872,780","557,084","46,612","603,696","72,392","25,780","46,612",11.99,7.72
Q1 2000,"881,080","892,948","563,668","49,616","613,284","74,228","24,612","49,616",12.1,8.09
Q2 2000,"897,340","907,744","573,208","52,336","625,544","76,532","24,196","52,336",12.23,8.37
