"Debt service indicators of households, national balance sheet accounts"
"Frequency: Quarterly"
"Table: 11-10-0065-01"
"Release date: 2021-09-10"
"Geography: Canada"
""
""

,"Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021"
"Household income  (x 1,000,000)","615,496","626,452","631,908","638,984","640,844","648,248","652,668","654,384","658,604","664,280","667,800","669,188","676,464","679,832","681,600","682,432","685,640","692,764","701,280","708,180","715,664","722,476","727,596","730,372","733,988","737,104","742,812","750,800","755,312","764,380","776,752","783,004","795,624","804,440","810,304","824,148","828,032","841,284","851,248","862,888","881,080","897,340","911,920","921,880","940,528","943,860","945,100","948,636","953,464","957,496","967,944","982,888","988,888","992,224","1,001,496","1,013,376","1,031,976","1,046,444","1,059,880","1,072,216","1,080,420","1,101,560","1,116,248","1,129,340","1,165,716","1,171,792","1,197,376","1,217,940","1,238,828","1,267,240","1,278,304","1,294,092","1,321,476","1,321,288","1,333,848","1,328,292","1,322,648","1,316,688","1,327,080","1,336,012","1,345,604","1,363,764","1,376,060","1,402,528","1,417,848","1,431,612","1,445,464","1,456,528","1,479,616","1,492,748","1,508,396","1,522,516","1,542,000","1,551,472","1,565,760","1,583,824","1,594,888","1,607,092","1,625,304","1,638,136","1,665,948","1,685,208","1,697,072","1,708,408","1,683,472","1,696,164","1,709,168","1,728,392","1,739,208","1,765,116","1,796,740","1,818,752","1,830,204","1,841,324","1,860,080","1,888,908","1,898,892","1,933,260","1,948,564","1,977,040","1,984,744","2,104,396","2,064,628","2,055,212","2,091,124","2,132,464"
"Compensation of employees  (x 1,000,000)","364,088","369,216","370,736","373,644","375,700","378,296","382,092","384,708","385,772","388,852","390,612","392,372","394,736","395,572","397,400","397,864","400,020","406,436","409,944","413,332","416,724","419,180","423,184","424,560","425,292","427,752","432,716","440,404","444,648","452,076","462,084","464,676","471,336","478,032","482,644","490,048","493,660","501,928","510,664","521,016","533,368","550,308","558,168","563,992","570,140","572,916","575,092","578,964","586,108","592,032","599,780","609,212","613,824","615,924","621,740","630,912","641,972","653,456","661,952","667,240","675,680","686,756","698,516","709,480","719,292","732,208","743,484","754,300","768,088","780,652","786,024","795,488","809,336","818,472","822,476","822,148","812,092","807,084","808,080","814,968","820,544","829,788","840,236","853,192","869,600","875,820","884,344","894,816","904,796","916,868","928,328","935,968","947,684","953,120","962,004","973,916","981,384","991,524","1,004,236","1,007,844","1,019,332","1,025,220","1,026,512","1,027,908","1,018,556","1,020,468","1,024,384","1,033,160","1,043,448","1,055,656","1,075,132","1,091,856","1,109,260","1,116,080","1,125,156","1,138,720","1,148,180","1,163,792","1,178,132","1,193,364","1,179,104","1,078,336","1,162,392","1,192,044","1,217,548","1,235,224"
"Net mixed income  (x 1,000,000)","68,496","68,580","69,024","68,920","69,932","71,564","71,916","72,084","73,356","73,692","74,524","75,368","75,388","77,364","78,192","78,600","79,520","80,396","81,136","82,256","82,892","83,808","85,476","85,888","86,708","87,756","88,464","88,088","88,372","89,060","90,020","90,936","92,580","93,416","94,436","95,928","95,908","97,556","98,592","99,176","101,096","101,776","103,112","105,024","106,528","106,948","108,048","109,020","109,972","111,004","112,056","113,948","114,980","115,584","117,036","118,532","119,924","121,912","123,232","124,132","123,772","125,056","126,580","127,244","127,496","130,548","132,096","133,872","136,668","138,312","139,368","141,020","143,616","144,612","144,984","142,456","142,312","143,912","145,460","146,996","147,392","149,728","152,364","155,036","155,284","156,856","158,536","160,028","161,544","161,536","163,516","165,128","166,168","167,244","168,224","169,220","168,968","171,856","173,060","174,432","175,608","177,252","178,332","180,796","182,032","183,900","183,256","185,120","186,528","189,220","191,424","194,124","191,456","193,052","194,816","199,996","199,820","202,516","206,008","210,312","212,016","203,620","211,684","213,812","218,548","223,096"
"Property income received 1  (x 1,000,000)","102,048","106,588","108,008","107,100","105,476","102,988","101,088","98,800","98,544","97,968","96,200","94,136","94,500","94,128","92,688","92,780","91,180","91,216","95,568","97,364","100,624","104,008","103,504","103,760","104,168","103,792","103,376","103,312","103,084","103,408","103,048","102,440","105,312","106,516","105,972","109,056","110,176","112,564","112,776","111,648","114,132","115,532","119,424","120,240","118,116","118,900","116,016","114,736","111,560","107,900","108,524","109,400","107,668","108,264","109,816","108,952","111,864","111,344","113,972","115,656","118,932","123,188","125,208","124,552","132,644","131,764","139,144","144,868","146,808","157,064","154,488","156,308","161,332","159,204","161,884","157,632","156,108","152,396","151,440","148,480","150,976","151,372","152,084","155,644","160,164","160,500","165,612","162,384","167,848","170,236","170,120","173,140","172,356","174,252","177,040","177,720","181,320","181,524","180,156","184,504","189,180","196,588","200,988","206,120","184,940","187,088","190,544","195,440","193,672","199,320","207,564","208,200","202,760","200,432","204,724","208,476","208,176","215,116","215,168","218,528","218,080","213,036","207,128","208,952","209,808","213,260"
"Current transfers received  (x 1,000,000)","80,864","82,068","84,140","89,320","89,736","95,400","97,572","98,792","100,932","103,768","106,464","107,312","111,840","112,768","113,320","113,188","114,920","114,716","114,632","115,228","115,424","115,480","115,432","116,164","117,820","117,804","118,256","118,996","119,208","119,836","121,600","124,952","126,396","126,476","127,252","129,116","128,288","129,236","129,216","131,048","132,484","129,724","131,216","132,624","145,744","145,096","145,944","145,916","145,824","146,560","147,584","150,328","152,416","152,452","152,904","154,980","158,216","159,732","160,724","165,188","162,036","166,560","165,944","168,064","186,284","177,272","182,652","184,900","187,264","191,212","198,424","201,276","207,192","199,000","204,504","206,056","212,136","213,296","222,100","225,568","226,692","232,876","231,376","238,656","232,800","238,436","236,972","239,300","245,428","244,108","246,432","248,280","255,792","256,856","258,492","262,968","263,216","262,188","267,852","271,356","281,828","286,148","291,240","293,584","297,944","304,708","310,984","314,672","315,560","320,920","322,620","324,572","326,728","331,760","335,384","341,716","342,716","351,836","349,256","354,836","375,544","609,404","483,424","440,404","445,220","460,884"
"Household outlays  (x 1,000,000)","589,856","610,364","608,044","611,668","608,556","630,308","629,176","627,508","638,304","638,260","633,376","644,920","652,112","639,992","660,032","668,480","669,236","673,268","686,444","694,480","700,912","709,180","719,864","720,384","728,660","734,624","742,344","755,248","764,640","777,668","783,420","791,568","802,932","817,200","815,228","823,716","834,100","846,520","859,048","872,780","892,948","907,744","921,712","927,212","932,344","955,660","942,572","947,124","953,676","969,888","977,456","996,864","998,800","1,010,312","1,027,104","1,031,644","1,054,688","1,061,448","1,074,504","1,090,688","1,114,928","1,130,372","1,148,904","1,156,972","1,185,020","1,200,260","1,215,632","1,228,984","1,247,776","1,294,192","1,310,380","1,328,952","1,351,168","1,343,952","1,347,604","1,326,604","1,319,040","1,316,092","1,322,476","1,332,472","1,331,812","1,369,336","1,378,720","1,402,604","1,420,016","1,441,096","1,453,264","1,457,020","1,479,840","1,491,848","1,501,896","1,516,896","1,526,784","1,542,024","1,562,168","1,577,248","1,592,884","1,615,828","1,627,360","1,647,740","1,653,464","1,671,892","1,690,312","1,709,764","1,717,012","1,715,084","1,724,276","1,744,464","1,769,068","1,790,248","1,806,984","1,832,660","1,858,676","1,877,128","1,902,748","1,914,728","1,935,080","1,959,572","1,972,360","1,996,620","1,961,692","1,719,344","1,912,356","1,921,272","1,943,176","1,961,972"
"Property income paid 1  (x 1,000,000)","42,248","43,660","44,732","44,972","45,368","44,392","43,656","43,052","41,464","40,936","40,196","40,604","37,960","37,500","36,628","36,368","36,308","36,200","37,260","38,388","40,648","41,904","41,772","41,588","40,996","40,512","39,560","38,688","36,096","35,440","35,304","35,272","36,672","36,632","37,680","38,608","37,116","36,556","36,152","35,800","38,820","41,192","42,168","44,208","43,412","42,168","40,752","38,484","36,932","36,520","37,276","38,472","38,884","38,440","39,628","39,372","40,096","39,868","39,820","40,840","41,848","42,864","44,264","44,260","48,124","52,224","53,820","56,360","57,888","60,484","61,700","65,180","65,040","64,416","65,260","60,968","59,084","55,832","54,692","52,628","53,260","53,944","53,976","55,392","55,516","55,064","54,572","53,168","55,268","55,424","55,976","55,724","55,700","55,568","56,696","56,964","55,344","55,688","55,920","56,476","57,612","56,100","55,052","55,372","55,052","56,996","56,464","57,108","57,924","59,428","60,512","62,880","65,444","68,484","72,084","77,316","78,716","79,556","80,624","79,876","78,408","72,624","70,808","69,448","68,216","69,176"
