date,Prime rate,1-year Conventional mortgage,3-year Conventional mortgage,5-year Conventional mortgage,1-year GIC,3-year GIC,5-year GIC,5-year personal fixed term,"Daily Interest Savings (balances over $100,000)",Non-Chequable Savings Deposits
1967-04-05,,,,,,,,,,4.5
1967-04-12,,,,,,,,,,4.5
1967-04-19,,,,,,,,,,4.5
1967-04-26,,,,,,,,,,4.5
1967-05-03,,,,,,,,,,4.5
1967-05-10,,,,,,,,,,4.5
1967-05-17,,,,,,,,,,4.5
1967-05-24,,,,,,,,,,4.5
1967-05-31,,,,,,,,,,4.5
1967-06-07,,,,,,,,,,4.5
1967-06-14,,,,,,,,,,4.5
1967-06-21,,,,,,,,,,4.5
1967-06-28,,,,,,,,,,4.5
1967-07-05,,,,,,,,,,4.5
1967-07-12,,,,,,,,,,4.5
1967-07-19,,,,,,,,,,4.5
1967-07-26,,,,,,,,,,4.5
1967-08-02,,,,,,,,,,4.5
1967-08-09,,,,,,,,,,4.5
1967-08-16,,,,,,,,,,4.5
1967-08-23,,,,,,,,,,4.5
1967-08-30,,,,,,,,,,4.5
1967-09-06,,,,,,,,,,4.5
1967-09-13,,,,,,,,,,4.5
1967-09-20,,,,,,,,,,4.5
1967-09-27,,,,,,,,,,4.5
1967-10-04,,,,,,,,,,4.5
1967-10-11,,,,,,,,,,4.5
1967-10-18,,,,,,,,,,4.5
1967-10-25,,,,,,,,,,4.5
1967-11-01,,,,,,,,,,4.5
1967-11-08,,,,,,,,,,4.5
1967-11-15,,,,,,,,,,4.5
1967-11-22,,,,,,,,,,4.5
1967-11-29,,,,,,,,,,4.5
1967-12-06,,,,,,,,,,4.5
1967-12-13,,,,,,,,,,4.5
1967-12-20,,,,,,,,,,4.5
1967-12-27,,,,,,,,,,4.5
1968-01-03,,,,,,,,,,4.5
1968-01-10,,,,,,,,,,4.5
1968-01-17,,,,,,,,,,4.5
1968-01-24,,,,,,,,,,4.5
1968-01-31,,,,,,,,,,4.5
1968-02-07,,,,,,,,,,4.5
1968-02-14,,,,,,,,,,4.5
1968-02-21,,,,,,,,,,4.5
1968-02-28,,,,,,,,,,4.5
1968-03-06,,,,,,,,,,5
1968-03-13,,,,,,,,,,5
1968-03-20,,,,,,,,,,5
1968-03-27,,,,,,,,,,5
1968-04-03,,,,,,,,,,5
1968-04-10,,,,,,,,,,5
1968-04-17,,,,,,,,,,5
1968-04-24,,,,,,,,,,5
1968-05-01,,,,,,,,,,5
1968-05-08,,,,,,,,,,5
1968-05-15,,,,,,,,,,5
1968-05-22,,,,,,,,,,5
1968-05-29,,,,,,,,,,5
1968-06-05,,,,,,,,,,5
1968-06-12,,,,,,,,,,5
1968-06-19,,,,,,,,,,5
1968-06-26,,,,,,,,,,5
1968-07-03,,,,,,,,7,,5
1968-07-10,,,,,,,,6.75,,5
1968-07-17,,,,,,,,6.75,,5
1968-07-24,,,,,,,,6.75,,5
1968-07-31,,,,,,,,6.5,,5
1968-08-07,,,,,,,,6.5,,5
1968-08-14,,,,,,,,6.5,,5
1968-08-21,,,,,,,,6.5,,5
1968-08-28,,,,,,,,6.5,,5
1968-09-04,,,,,,,,6.5,,5
1968-09-11,,,,,,,,6.5,,5
1968-09-18,,,,,,,,6.5,,5
1968-09-25,,,,,,,,6.5,,5
1968-10-02,,,,,,,,6.5,,5
1968-10-09,,,,,,,,6.5,,5
1968-10-16,,,,,,,,6.5,,5
1968-10-23,,,,,,,,6.5,,5
1968-10-30,,,,,,,,6.5,,5
1968-11-06,,,,,,,,6.5,,5
1968-11-13,,,,,,,,6.5,,5
1968-11-20,,,,,,,,6.5,,5
1968-11-27,,,,,,,,6.5,,5
1968-12-04,,,,,,,,6.5,,5
1968-12-11,,,,,,,,6.5,,5
1968-12-18,,,,,,,,6.5,,5
1968-12-25,,,,,,,,6.5,,5
1969-01-01,,,,,,,,6.75,,5
1969-01-08,,,,,,,,6.75,,5
1969-01-15,,,,,,,,7,,5
1969-01-22,,,,,,,,7,,5
1969-01-29,,,,,,,,7,,5
1969-02-05,,,,,,,,7,,5.25
1969-02-12,,,,,,,,7.25,,5.25
1969-02-19,,,,,,,,7.25,,5.25
1969-02-26,,,,,,,,7.25,,5.25
1969-03-05,,,,,,,,7.25,,5.25
1969-03-12,,,,,,,,7.25,,5.25
1969-03-19,,,,,,,,7.25,,5.25
1969-03-26,,,,,,,,7.25,,5.25
1969-04-02,,,,,,,,7.25,,5.5
1969-04-09,,,,,,,,7.25,,5.5
1969-04-16,,,,,,,,7.25,,5.5
1969-04-23,,,,,,,,7.25,,5.5
1969-04-30,,,,,,,,7.25,,5.5
1969-05-07,,,,,,,,7.25,,5.5
1969-05-14,,,,,,,,7.25,,5.5
1969-05-21,,,,,,,,7.25,,5.5
1969-05-28,,,,,,,,7.5,,5.5
1969-06-04,,,,,,,,7.5,,6
1969-06-11,,,,,,,,7.5,,6
1969-06-18,,,,,,,,7.5,,6
1969-06-25,,,,,,,,7.5,,6
1969-07-02,,,,,,,,7.75,,6.5
1969-07-09,,,,,,,,7.75,,6.5
1969-07-16,,,,,,,,7.75,,6.5
1969-07-23,,,,,,,,7.75,,6.5
1969-07-30,,,,,,,,7.75,,6.5
1969-08-06,,,,,,,,7.75,,6.5
1969-08-13,,,,,,,,7.75,,6.5
1969-08-20,,,,,,,,7.75,,6.5
1969-08-27,,,,,,,,7.75,,6.5
1969-09-03,,,,,,,,7.75,,6.5
1969-09-10,,,,,,,,7.75,,6.5
1969-09-17,,,,,,,,7.75,,6.5
1969-09-24,,,,,,,,7.75,,6.5
1969-10-01,,,,,,,,7.75,,6.5
1969-10-08,,,,,,,,7.75,,6.5
1969-10-15,,,,,,,,7.75,,6.5
1969-10-22,,,,,,,,7.75,,6.5
1969-10-29,,,,,,,,7.75,,6.5
1969-11-05,,,,,,,,7.75,,6.5
1969-11-12,,,,,,,,7.75,,6.5
1969-11-19,,,,,,,,7.75,,6.5
1969-11-26,,,,,,,,7.75,,6.5
1969-12-03,,,,,,,,7.75,,6.5
1969-12-10,,,,,,,,7.75,,6.5
1969-12-17,,,,,,,,7.75,,6.5
1969-12-24,,,,,,,,7.75,,6.5
1969-12-31,,,,,,,,7.75,,6.5
1970-01-07,,,,,,,,7.75,,6.5
1970-01-14,,,,,,,,7.75,,6.5
1970-01-21,,,,,,,,7.75,,6.5
1970-01-28,,,,,,,,7.75,,6.5
1970-02-04,,,,,,,,7.75,,6.5
1970-02-11,,,,,,,,7.75,,6.5
1970-02-18,,,,,,,,7.75,,6.5
1970-02-25,,,,,,,,7.75,,6.5
1970-03-04,,,,,,,,7.75,,6.5
1970-03-11,,,,,,,,7.75,,6.5
1970-03-18,,,,,,,,7.75,,6.5
1970-03-25,,,,,,,,7.75,,6.5
1970-04-01,,,,,,,,7.75,,6.5
1970-04-08,,,,,,,,7.75,,6.5
1970-04-15,,,,,,,,7.75,,6.5
1970-04-22,,,,,,,,7.75,,6.5
1970-04-29,,,,,,,,7.75,,6.5
1970-05-06,,,,,,,,7.75,,6.5
1970-05-13,,,,,,,,7.75,,6.5
1970-05-20,,,,,,,,7.75,,6.5
1970-05-27,,,,,,,,7.75,,6.5
1970-06-03,,,,,,,,7.75,,6.5
1970-06-10,,,,,,,,7.75,,6.5
1970-06-17,,,,,,,,7.75,,6.5
1970-06-24,,,,,,,,7.75,,6.5
1970-07-01,,,,,,,,7.75,,6
1970-07-08,,,,,,,,7.75,,6
1970-07-15,,,,,,,,7.75,,6
1970-07-22,,,,,,,,7.75,,6
1970-07-29,,,,,,,,7.75,,6
1970-08-05,,,,,,,,7.75,,6
1970-08-12,,,,,,,,7.75,,6
1970-08-19,,,,,,,,7.75,,6
1970-08-26,,,,,,,,7.75,,6
1970-09-02,,,,,,,,7.75,,6
1970-09-09,,,,,,,,7.75,,6
1970-09-16,,,,,,,,7.75,,6
1970-09-23,,,,,,,,7.75,,6
1970-09-30,,,,,,,,7.25,,6
1970-10-07,,,,,,,,7.75,,6
1970-10-14,,,,,,,,7.75,,6
1970-10-21,,,,,,,,7.75,,6
1970-10-28,,,,,,,,7.75,,6
1970-11-04,,,,,,,,7.75,,5.5
1970-11-11,,,,,,,,7.25,,5.5
1970-11-18,,,,,,,,7.25,,5.5
1970-11-25,,,,,,,,7.25,,5.5
1970-12-02,,,,,,,,7.25,,5.5
1970-12-09,,,,,,,,7.25,,5.5
1970-12-16,,,,,,,,7.25,,5.5
1970-12-23,,,,,,,,7.25,,5.5
1970-12-30,,,,,,,,7.25,,5.5
1971-01-06,,,,,,,,7.25,,5.5
1971-01-13,,,,,,,,7.25,,5.5
1971-01-20,,,,,,,,7.25,,5.5
1971-01-27,,,,,,,,7.25,,5.5
1971-02-03,,,,,,,,7.25,,5
1971-02-10,,,,,,,,7.25,,5
1971-02-17,,,,,,,,7.25,,5
1971-02-24,,,,,,,,7.25,,5
1971-03-03,,,,,,,,6.75,,4.5
1971-03-10,,,,,,,,6.75,,4.5
1971-03-17,,,,,,,,6.25,,4.5
1971-03-24,,,,,,,,6.25,,4.5
1971-03-31,,,,,,,,6,,4.5
1971-04-07,,,,,,,,6,,4.5
1971-04-14,,,,,,,,6,,4.5
1971-04-21,,,,,,,,6,,4.5
1971-04-28,,,,,,,,6,,4.5
1971-05-05,,,,,,,,6,,4.5
1971-05-12,,,,,,,,6,,4.5
1971-05-19,,,,,,,,6,,4.5
1971-05-26,,,,,,,,6,,4.5
1971-06-02,,,,,,,,6,,4.5
1971-06-09,,,,,,,,6,,4.5
1971-06-16,,,,,,,,6,,4.5
1971-06-23,,,,,,,,6,,4.5
1971-06-30,,,,,,,,6,,4.5
1971-07-07,,,,,,,,6,,4.5
1971-07-14,,,,,,,,6,,4.5
1971-07-21,,,,,,,,6.5,,4.5
1971-07-28,,,,,,,,6.5,,4.5
1971-08-04,,,,,,,,6.5,,4.5
1971-08-11,,,,,,,,6.5,,4.5
1971-08-18,,,,,,,,6.5,,4.5
1971-08-25,,,,,,,,6.5,,4.5
1971-09-01,,,,,,,,6.5,,4.5
1971-09-08,,,,,,,,6.5,,4.5
1971-09-15,,,,,,,,6.5,,4.5
1971-09-22,,,,,,,,6.5,,4.5
1971-09-29,,,,,,,,6.5,,4.5
1971-10-06,,,,,,,,6.5,,4.5
1971-10-13,,,,,,,,6.5,,4.5
1971-10-20,,,,,,,,6.5,,4.5
1971-10-27,,,,,,,,6.75,,4.5
1971-11-03,,,,,,,,6.5,,4
1971-11-10,,,,,,,,6.5,,4
1971-11-17,,,,,,,,6.5,,4
1971-11-24,,,,,,,,6.5,,4
1971-12-01,,,,,,,,6.5,,4
1971-12-08,,,,,,,,6.5,,4
1971-12-15,,,,,,,,6.5,,4
1971-12-22,,,,,,,,6.5,,4
1971-12-29,,,,,,,,6.5,,4
1972-01-05,,,,,,,,6.5,,4
1972-01-12,,,,,,,,6.5,,4
1972-01-19,,,,,,,,6.5,,4
1972-01-26,,,,,,,,6.5,,4
1972-02-02,,,,,,,,6.5,,4
1972-02-09,,,,,,,,6.5,,4
1972-02-16,,,,,,,,6.5,,4
1972-02-23,,,,,,,,6.5,,4
1972-03-01,,,,,,,,6.5,,4
1972-03-08,,,,,,,,6.5,,4
1972-03-15,,,,,,,,6.5,,4
1972-03-22,,,,,,,,6.75,,4
1972-03-29,,,,,,,,6.75,,4
1972-04-05,,,,,,,,6.75,,4
1972-04-12,,,,,,,,6.75,,4
1972-04-19,,,,,,,,6.75,,4
1972-04-26,,,,,,,,6.75,,4
1972-05-03,,,,,,,,6.75,,4
1972-05-10,,,,,,,,7,,4
1972-05-17,,,,,,,,7,,4
1972-05-24,,,,,,,,7,,4
1972-05-31,,,,,,,,7,,4
